subject,exam_name,paper_number,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,unique_question_id,question_type
Percussion Instruments,Question Papers of NET December 2015,Paper III,26,बिआड़ को कहते है :,पौनगुन,सवागुन,डेढ़गुन,पौनेदुगुन,D,PER_1f894a3b,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,27,प्रायः ठुमरी नहीं गायी जाती है :,दादरा ताल में,कहरवा ताल में,दीपचन्दी ताल में,जत ताल में,A,PER_d368a927,Identify the Incorrect Statement
Percussion Instruments,Question Papers of NET December 2015,Paper III,28,निम्न में से किस ताल में बड़ा ख्याल नहीं गाया जाता है ?,तीन ताल,रूपक,झूमरा,चौताल,D,PER_b03530e7,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,29,सुमेलित कीजिए : (a) ताल दीपिका (i) मधुकर गणेश गोडबोले (b) तबला शास्त्र (ii) घनश्याम दास पखावजी (c) मृदंग तबला वादन (iii) गोविन्द राव बुरहानपुरकर (d) मृदंग-सागर (iv) मन्नू जी मृदंगाचार्य कूट : (a) (b) (c) (d),(iv) (i) (iii) (ii),(ii) (i) (iii) (iv),(i) (ii) (iii) (iv),(iv) (iii) (ii) (i),A,PER_7fbf18f5,Match the List
Percussion Instruments,Question Papers of NET December 2015,Paper III,30,प्राचीन वाद्य 'आवज' का अर्वाचीन नाम है :,ढोलक,दमामा,धौंसा,हुडक्का,D,PER_4c6ed1d4,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,31,महाभारत की कथाओं को लोक शैली में प्रस्तुत करने की विधा :,पंडवानी,कोजागरी,लोक गाथायें,जागर,A,PER_e9899f4b,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,32,कुआड़ को कहते है :,चौगुन,सवागुन,पौनेदुगुन,पाँचगुन,B,PER_7316207b,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,33,पखावज वादक पं. अमरनाथ मिश्र के द्वारा स्थापित संगीत समारोह :,संकट मोचन समारोह,शिव-रात्रि समारोह,गंगा महोत्सव,त्रिवेणी समारोह,A,PER_293ed164,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,34,ब्रह्म ताल में कुल कितने विभाग है ?,12,14,16,18,B,PER_a9cc5be5,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,35,कथक नृत्य की किस रचना में अन्य विधा का मेल होता है ?,आमद,लड़ी,परमेलु (प्रिमलू),परन्,C,PER_50713b90,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,36,नाट्यशास्त्र के अनुसार किस अवनद्ध वाद्य को निश्चित स्वर में मिलाया जाता था ?,दुन्दुभि,त्रिपुष्कर,हुडक्का,भूमि दुन्दुभि,B,PER_a6c0d45f,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,37,"रूपक ताल, धमार ताल एवं झपताल में समान रूप से बजाई जाने वाली रचना कितने मात्रे की होगी?",56,70,120,80,B,PER_2429c28b,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,38,"नाट्यशास्त्र के अनुसार हरीतकी, यवाकृति व गौपुच्छा किस वाद्य की आकृतियाँ है ?",पटह,पणव,त्रिपुष्कर,मर्दल,C,PER_65c393dd,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,39,पिता-पुत्र की जोड़ी को सुमेलित कीजिए : (a) पं. शिव कुमार शर्मा (i) श्री अभय रुस्तम् (b) पं. भजन सोपोरी (ii) श्री राहुल (c) पं. विश्व मोहन भट्ट (iii) श्री नीलाद्री (d) पं. कार्तिक कुमार (iv) श्री सलिल कूट : (a) (b) (c) (d),(i) (ii) (iii) (iv),(ii) (i) (iv) (iii),(ii) (i) (iii) (iv),(iv) (iii) (ii) (i),B,PER_5000beb3,Match the List
Percussion Instruments,Question Papers of NET December 2015,Paper III,40,तरंग वाद्यों की अलग श्रेणी बनाने के प्रयास को प्रबल समर्थन दिया :,डॉ. सुभद्रा चौधरी,डॉ. आबान् ई. मिस्त्री,आचार्य वृहस्पति,डॉ. योग माया शुक्ला,B,PER_41b79e54,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,41,अभिकथन (A): प्राचीन काल में पूरे देश में एक ही संगीत पद्धति का प्रचलन था। कारण (R) : अतएव उत्तर भारतीय संगीत और कर्नाटक संगीत का मूल एक ही हैं। कूट :,(A) सही और (R) ग़लत है।,(A) ग़लत और (R) सही है।,(A) और (R) दोनों सही हैं।,(A) और (R) दोनों ग़लत हैं।,C,PER_ef7ee6f8,Assertion and Reason
Percussion Instruments,Question Papers of NET December 2015,Paper III,42,36 मात्रा की रचना को बिना परिवर्तित किये अधिकतम कितने तालों में बजाया जा सकता है ?,एक,दो,तीन,चार,D,PER_036bb881,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,43,फरोदस्त ताल की फरमाईशी चक्करदार बिना परिवर्तित किये और किस ताल में बजाई जा सकती है ?,एकताल,झपताल,तीनताल,पंचमसवारी,B,PER_9f9c008a,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,44,"""भाण्डिक"" कल्लिनाथ द्वारा कहा गया है :",अवनद्ध वाद्य वादकों को,भाण्डों को,भण्डा फोड़ करने वालों को,घट्म वादकों को,A,PER_9298e032,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,45,डमरू के समान दिखने वाले पाश्चात्य वाद्य का नाम है :,फ्रेम ड्रम,वेस्टेड ड्रम,केटल ड्रम,बैरल ड्रम,B,PER_8c2e90c8,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,46,शिखर ताल में बेदम तिहाई का एक पल्ला कितने वर्णों का बनेगा ?,17,18,22,23,D,PER_596940dc,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,47,ताल के दस प्राण का सर्वप्रथम किस ग्रन्थ में उल्लेख है ?,संगीत समय सार,संगीत रत्नाकर,संगीत सुधाकर,संगीत मकरन्द,A,PER_b4d62e66,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,48,निम्नलिखित को सुमेलित कीजिए : (a) तविल (i) गुलाम ज़ाफर (b) ढोलक (ii) मीनाक्षी सुन्दरम् पिल्लई (c) मृदंगम (iii) उ. दिलावर खाँ (d) नक्कारा (iv) पाल घाट रघु कूट : (a) (b) (c) (d),(i) (ii) (iii) (iv),(i) (ii) (iv) (iii),(ii) (i) (iv) (iii),(ii) (i) (iii) (iv),C,PER_833cbe72,Match the List
Percussion Instruments,Question Papers of NET December 2015,Paper III,49,मादन-उल-मौसिकी के लेखक है :,अबुल फ़ज़ल,फकीर मुहम्मद करम इमाम,डॉ. अरुण कुमार सेन,अमीर खुसरो,B,PER_c01dd034,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,50,फर्रुखाबाद घराने के उस्ताद हुसैन अली खाँ के शिष्य है :,उ. हुसैन बक्श,उ. अल्लादिया खाँ,डॉ. सलारी मियाँ,डॉ. मुनीर खाँ,D,PER_1cbc00db,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,51,ग्रन्थों में ताल क्रिया के बाद होने वाले विश्रान्ति को कहा गया है :,लय,ताल,ताली,खाली,A,PER_fce2cdab,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,52,रविन्द्र नाथ ठाकुर द्वारा निर्मित नव पंच ताल की मात्राएं है :,45,14,9,18,D,PER_97a76c5e,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,53,खण्ड जाति ध्रुव ताल की कुल मात्रायें :,15,17,16,18,B,PER_bbb5c529,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,54,"पखावजी कृपा राय को किस राजा ने ""मृदंगराज"" की उपाधि प्रदान की ?",अकबर,बहादुर शाह जफर,नासिर शाह,औरंगजेब,D,PER_9341e478,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,55,पं. भैरों प्रसाद के शिष्य है :,पं. पाँचू महाराज,पं. बुन्दी मिश्र,पं. रंगनाथ मिश्र,पं. गणेश प्रसाद मिश्र,A,PER_d89b7a84,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,56,फारसी भाषा में उर्ध्वमुखी अवनद्धो वाद्यों की संज्ञा है :,तबला,तब्ल,आतोद्य,अतबल,B,PER_3c88bcff,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,57,"1902 में प्रकाशित ""रिसालये तबला नवाजी"" के अनुसार तबला के आविष्कारक है :",हजरत अमीर खुसरो,पं. भवानी दास,उ. सुधार खाँ ढ़ाढ़ी,उल्लेख नहीं है,C,PER_a31b8ae6,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,58,शास्त्रों में द्रुतविराम के अक्षर कालों की संख्या कितनी है ?,2,4,3,5,C,PER_84761f66,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,59,राग दर्पण के अनुसार मियाँ तानसेन के संगतिकार पखावज-वादक थे :,पं. कृपा पखावजी,उ. फिरोज ढ़ाढी,पं. घासी राम,पं. कोदऊ सिंह,B,PER_cd5faa1f,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,60,एकादशी ताल की मात्राऐं एवं विभाग :,11 मात्रा - 2 विभाग,11 मात्रा - 3 विभाग,11 मात्रा - 4 विभाग,14 मात्रा - 5 विभाग,C,PER_ccc97c46,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,61,ओडिसी नृत्य में प्रयुक्त होने वाला प्रमुख अवनद्ध वाद्य है :,तिमिला,तविल,मद्दलम्,तबला,C,PER_9b6d95ec,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,62,नयन ज्योति घोष को किस पुरस्कार से सम्मानित किया गया है ?,पद्मश्री,संगीत नाटक अकादमी,यश भारती,महाराष्ट्र सम्मान,B,PER_2bffd2af,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,63,प्रसिद्ध धर्म प्रचारक जो एक पखावज-वादक भी थे :,स्वामी विवेकानन्द,स्वामी परगनानन्द,स्वामी दयानन्द,स्वामी श्रद्धानन्द,A,PER_a0ffe7e9,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,64,अभिकथन (A) : चन्द्रमा की सोलह कलाओं की तरह त्रिताल में भी सोलह मात्रायें होती हैं। कारण (R) : तालतोयनिधि ग्रंथ में त्रिताल को 'राकेन्दु' नाम दिया है। कूट :,(A) सही है और (R) ग़लत है।,(A) ग़लत है और (R) सही है।,(A) और (R) दोनों सही हैं।,(A) और (R) दोनों ग़लत हैं।,C,PER_2f16306a,Assertion and Reason
Percussion Instruments,Question Papers of NET December 2015,Paper III,65,संगीत समय सार में तब्ल शब्द का उल्लेख मिलता है :,सही,गलत,सन्देह,कहा नहीं जा सकता,A,PER_9480fc14,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,66,भरत काल में भारतीय संगीत में प्रयुक्त अवनद्ध वाद्यों की संख्या :,सौ से अधिक,सौ से कम,एकसौ,उपर्युक्त में से कोई नहीं,C,PER_e7051a74,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,67,पटह का एक अन्य नाम :,ढ़ोल,ढ़ोलक,डिण्डमी,दुन्दुभी,B,PER_ac4ccb83,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,68,जिन वाद्यों को इच्छित स्वरों में मिलाना संभव है - कहलाते हैं :,अंग वाद्य,अभंग वाद्य,प्रत्यंग वाद्य,चतुरंग वाद्य,A,PER_9a190e20,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,69,"मृदंग, पणव और दर्दुर हैं :",तत वाद्य,अवनद्ध वाद्य,घन वाद्य,सुषिर वाद्य,B,PER_1e617734,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,70,प्राचीन काल में 'लेपन' किया जाता था :,लौहचूर्ण से,मिट्टी से,गन पाऊडर से,पत्तियों की चटनी से,B,PER_bc7376a3,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,71,दुन्दुभी को कहते है :,नगाड़ा भी,पणव भी,डमरू भी,पटह भी,A,PER_0e85fe63,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper III,72,राधा गोविंद संगीत सार के लेखक :,भरत मुनि,शारंग देव,सवाई प्रताप सिंह देव,सवाई माधो सिंह,C,PER_801660b8,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,1,नाट्यशास्त्र में मार्ग के कितने प्रकार वर्णित हैं ?,2,3,4,5,B,PER_29186e28,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,2,ताल के दश प्राणों के अनुसार क्रिया के कितने प्रकार हैं ?,1,2,3,4,B,PER_87e5701e,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,3,निम्न तालों में कौन सा पृथक ताल है ?,पंचम सवारी,बड़ी सवारी,गजझम्पा,यतिशिखर,B,PER_d62d0276,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,4,लय भास्कर लक्ष्मण राव पर्वतीकर का उपनाम है :,सप्रु मामा,खाप्रु मामा,ताल सम्राट,लय विचारक,B,PER_53ce1dcb,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,5,"""झनक-झनक पायल बाजे"" फिल्म में तबला वादन करने वाले कलाकार है :",पं. साम्ता प्रसाद मिश्र,पं. किशन महाराज,उ. निजामुद्दीन खाँ,उ. अल्लारखा खाँ,A,PER_0ab453f6,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,6,अभिकथन (A) : संगीत रत्नाकर में शार्ङ्ग देव ने पांच मार्ग ताल और एक सौ बीस देशी तालों का वर्णन किया है। कारण (R) : इससे यह प्रतीत होता है कि मध्यकाल तक मार्ग संगीत का स्थान देशी संगीत ने ले लिया था। कूट :,(A) सही है किंतु (R) ग़लत है।,(A) ग़लत है (R) सही है।,(A) तथा (R) दोनों सही हैं।,(A) तथा (R) दोनों ग़लत हैं।,C,PER_73d0b9fd,Assertion and Reason
Percussion Instruments,Question Papers of NET December 2015,Paper II,7,तीन ताल के फरमाईशी चक्करदार के एक पल्ले को किस ताल में सम से सम तक बजाया जा सकता है ?,एकताल,जयताल,झपताल,धमार,B,PER_1e8d764e,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,8,"चित्रा, वार्तिक व दक्षिण मार्ग का वर्णन किस ग्रन्थ में मिलता है ?",नाट्यशास्त्र,स्वरमेल कलानिधि,संगीत सुधा कलश,संगीतार्णव,A,PER_c08bb5db,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,9,पद्मविभूषण प्राप्त प्रथम तबला वादक है :,पं. किशन महाराज,पं. गुदई महाराज,उ. जाकिर हुसैन,उ. अल्ला खाँ,A,PER_d8a5b5f5,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,10,संकीर्ण जाति रूपक ताल की कुल मात्रायें :,7,9,11,13,C,PER_3cf88bf9,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,11,तबला मृदंग वादन पद्धति ग्रन्थ के लेखक हैं :,गुरुदेव पटवर्धन,मुन्शी महेन्द्रनाथ वर्मा,मनू जी मृदंगाचार्य,पं. सखारामजी,A,PER_4b58cd31,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,12,गुरु का चिन्ह क्या है ?,0,+,1,S,D,PER_70874103,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,13,अतीत व अनागत किस ग्रह के उपभेद हैं ?,सम,विषम,ताल,ठेका,B,PER_0c2ebe32,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,14,डेमी-सेमी क्वेवर का भारतीय मात्राओं में मान :,¼ मात्रा,⅛ मात्रा,¹/¹⁶ मात्रा,½ मात्रा,B,PER_5e934c89,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,15,प्राचीन यतियों का सही क्रम बताएं :,स्त्रोतोगता - मृदंगा - समायति,मृदंगा - समायति - स्त्रोतोगता,गोपुच्छा - समायति - स्त्रोतोगता,समायति - स्त्रोतोगता - गोपुच्छा,D,PER_da909a25,Sequence / Ordering
Percussion Instruments,Question Papers of NET December 2015,Paper II,16,संगीत रत्नाकर में कितनी यतियों का वर्णन हैं ?,2,3,4,6,B,PER_f64d5a9f,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,17,ग्रन्थों में गात्रज व यन्त्रज ध्वनियों को वाद्य कहा गया है :,सही,गलत,कहा नहीं जा सकता,सन्देह है,A,PER_d87f24c7,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,18,"धिन-धिन में ""न"" का निकास किस उँगली से होता है ?",तर्जनी,मध्यमा,अनामिका,कनिष्ठा,C,PER_24ad1e27,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,19,क्डान् है एक :,संयुक्त वर्ण,असंयुक्त वर्ण,मिश्रित वर्ण,कहा नहीं जा सकता,A,PER_89e69d4e,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,20,सरदार वल्लभभाई पटेल ने किस मृदंग वादक को मृदंगाचार्य की उपाधि से सम्मानित किया?,सखाराम,नाना पानसे,गोविन्दराव बुरहानपुरकर,छत्रपति सिंह,C,PER_fe652345,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,21,रूपकड़ा ताल (रविन्द्र संगीत) की मात्रायें :,सात,छह,आठ,पाँच,C,PER_03cc9b7e,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,22,प्रसिद्ध सारंगी वादक पं. रामनारायण के भाई जो विख्यात तबला वादक थे :,पं. बृज नारायण,पं. शरत नारायण,पं. चतुर लाल,पं. वी.के. लाल,C,PER_d059275b,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,23,बाबू जोध सिंह के प्रसिद्ध शिष्य है :,नाना साहब पानसे,पं. पर्वत सिंह,गोविन्द राव,रामाशीष पाठक,A,PER_3c280a63,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,24,शिखर ताल में चक्करदार रचना का एक चक्र (पल्ला) कितने मात्रा का होगा?,23 मात्रा,24 मात्रा,22 मात्रा,25 मात्रा,A,PER_d7df0f05,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,25,निम्न में से किसे पद्मश्री पुरस्कार प्राप्त नहीं हुआ है ?,पं. सुरेश तलवलकर,पं. विजय घाटे,पं. अनिन्दो चटर्जी,उ. शफात अहमद खाँ,B,PER_71d11843,Identify the Incorrect Statement
Percussion Instruments,Question Papers of NET December 2015,Paper II,26,एकताल में पंचम सवारी ताल को सम से सम तक बजाने पर कौन सी लयकारी बनेगी ?,⁵/⁴,⅘,⁷/⁴,⅚,A,PER_fd4a02cc,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,27,निम्न तालों में से कौन पृथक ताल है ?,झूमरा,फरोदस्त,कैद फरोदस्त,दीपचन्दी,C,PER_559c1c5e,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,28,"""तेरी सूरत मेरी आँखें"" फिल्म में तबला वादन करने वाले कलाकार है :",पं. कन्हाई दत्त,पं. चतुर लाल,पं. गुदई महाराज,पं. बद्री महाराज,C,PER_7a6d430d,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,29,आड़ाचौताल' में कहरवा ताल को सम से सम तक बजाने पर कौन सी लयकारी बनेगी ?,⁷/⁴,⁵/⁴,⁴/⁷,⅘,C,PER_48d65900,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,30,पिता-पुत्र की जोड़ी सुमेलित कीजिये : (a) पं. आनिन्दो चटर्जी        (i) श्री सुप्रीत (b) पं. सुरेश तलवलकर      (ii) श्री विक्रम (c) पं. शंकर घोष             (iii) श्री सत्यजीत (d) पं. किरण देशपाण्डे      (iv) श्री अनुव्रत कूट : (a) (b) (c) (d),(i) (ii) (iii) (iv),(iii) (ii) (i) (iv),(iv) (iii) (i) (ii),(iv) (iii) (ii) (i),D,PER_e7030636,Match the List
Percussion Instruments,Question Papers of NET December 2015,Paper II,31,इनमें से कौन ढोलक वादक है ?,उ. दिलावर खाँ,उ. बफाती खाँ,उ. जहाँगीर खाँ,उ. मोहम्मद खाँ,B,PER_ca0a667f,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,32,जय ताल के फरमाईशी चक्करदार के एक पल्ले को किस ताल में सम से सम तक बजाया जा सकता है ?,रूपक ताल,झप ताल,बसन्त ताल,रुद्र ताल,A,PER_58d44273,Normal MCQ
Percussion Instruments,Question Papers of NET December 2015,Paper II,33,"""मृदंग-सागर"" ग्रन्थ के लेखक :",घनश्याम दास पखावजी,पुरुषोत्तम दास पखावजी,अयोध्या प्रसाद,पागल दास,A,PER_f01f3205,Normal MCQ
