subject,exam_name,paper_number,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,unique_question_id,question_type
Drama and theatre,Question Papers of NET December 2015,Paper III,11,सूची - I की मदों को सूची - II की मदों के साथ सुमेलित करें : सूची - I 		सूची - II (a) शेफर्ड 	(i) अरिस्टोफेन्स (b) हेफेस्टस 	(ii) युरिपीडिज (c) हेक्युबा 	(iii)सोफोक्लीज (d) इज़मेनिया 	(iv) एस्काइलस कूट : (a) (b) (c) (d),(i) (ii) (iii) (iv),(iv) (i) (ii) (iii),(ii) (iv) (iii) (i),(iii) (iv) (ii) (i),D,DRA_56139d2b,Match the List
Drama and theatre,Question Papers of NET December 2015,Paper III,12,"अभिकथन (A) : चीनी ओपेरा स्टेज एक प्रकार का रिक्त स्थान है या एक प्रकार का प्लास्टिक स्थान है। कारण (R) : चीनी अभिनय तकनीकी और शाब्दिक संकेतों से इस ""रिक्त स्थान"" को एक महल से एक वन या एक टूटे-फूटे झोंपड़ी को स्वर्ग के जैसा बनाया जा सकता है। कूट :",(A) और (R) दोनों सही हैं।,(A) और (R) दोनों गलत हैं।,(A) सही है और (R) गलत है।,(A) गलत है और (R) सही है।,A,DRA_c098f479,Assertion and Reason
Drama and theatre,Question Papers of NET December 2015,Paper III,13,जन नाट्य मंच के निम्नलिखित नाटकों को सही क्रम में लगाएं :,"गाँव से शहर तक, मशीन, औरत, अपहरण भाईचारे का","मशीन, अपहरण भाईचारे का, औरत, गाँव से शहर तक","मशीन, औरत, गाँव से शहर तक, अपहरण भाईचारे का","मशीन, गाँव से शहर तक, औरत, अपहरण भाईचारे का",D,DRA_9fd4ae16,Sequence / Ordering
Drama and theatre,Question Papers of NET December 2015,Paper III,14,निम्नलिखित में से असंगत को चुनें :,अंक,अंकमुख,अंकावतार,चूलिका,A,DRA_b924b658,Identify the Incorrect Statement
Drama and theatre,Question Papers of NET December 2015,Paper III,15,"कॉस्ट्यूम डिजाइन के संदर्भ में, एक सफल डिज़ाइनर को प्रत्येक रंग और उसके तीन गुणों की समझ होनी जरूरी है।"" निम्नलिखित में से कौन-सा रंग का गुण नहीं है ?",वर्ण,मूल्य,प्रगाढ़ता,घनत्व,D,DRA_b3a15066,Identify the Incorrect Statement
Drama and theatre,Question Papers of NET December 2015,Paper III,16,सूची - I के साथ सूची - II का मिलान करें : सूची - I 			सूची - II (a) अंक्यानाट 		(i) हिमाचल (b) भवी 		(ii) महाराष्ट्र (c) भगत 		(iii) गुजरात (d) तमाशा 		(iv) असम कूट : (a) (b) (c) (d),(i) (ii) (iii) (iv),(ii) (i) (iv) (iii),(iv) (iii) (i) (ii),(iii) (iv) (ii) (i),C,DRA_87e1ff43,Match the List
Drama and theatre,Question Papers of NET December 2015,Paper III,17,अभिकथन (A) : एलन बेनेट के अनुसार समालोचक अपना कार्य ठेस पहुंचाए बिना भी कर सकता है। वह एक उपदेशक की तरह होता है। कारण (R) : यदि नाट्य समालोचक एक दंत चिकित्सक भी है तो उसकी समालोचना और अधिक शक्तिशाली होगी। कूट :,(A) और (R) दोनों सही हैं।,(A) और (R) दोनों गलत हैं।,"(A) सही है, (R) गलत है।","(A) गलत है, (R) सही है।",B,DRA_dba8ed10,Assertion and Reason
Drama and theatre,Question Papers of NET December 2015,Paper III,18,पूर्वरंग की निम्नलिखित मदों का सही क्रम कौन-सा है ?,"प्ररोचना, त्रिगत, रंगद्वार, नान्दी","त्रिगत, प्ररोचना, नान्दी, रंगद्वार","रंगद्वार, नान्दी, प्ररोचना, त्रिगत","नान्दी, रंगद्वार, त्रिगत, प्ररोचना",D,DRA_ee510f36,Sequence / Ordering
Drama and theatre,Question Papers of NET December 2015,Paper III,19,निम्नलिखित में से कौन-सी मेक-अप सामग्री नहीं है ?,नॉयर,रूज़,फाउण्डेशन कलर्स,क्रेप हेयर,A,DRA_9188bd9f,Identify the Incorrect Statement
Drama and theatre,Question Papers of NET December 2015,Paper III,20,नव-कलासिकी की अवधारणा में निम्न में से किसका योगदान है ?,इटली का नवजागरण,रूस का नवजागरण,जर्मनी का नवजागरण,इंग्लैंड का नवजागरण,A,DRA_798280cd,Normal MCQ
Drama and theatre,Question Papers of NET December 2015,Paper III,21,सूची - I की मदों को सूची - II की मदों से मिलान करें : सूची - I 				सूची - II (a) अज़हर का ख्वाब 		(i) द ट्रायल (b) पनाहगाह 			(ii) द ट्रू स्टोरी ऑफ ए एच-क्यू (c) चंद्रमा सिंह उर्फ चमकू 	(iii) द केव ड्वेलर्स (d) जोसेफ़ का मुक़दमा 		(iv) पिगमेलिइन कूट : (a) (b) (c) (d),(ii) (iv) (iii) (i),(iv) (iii) (ii) (i),(iii) (ii) (i) (iv),(i) (iv) (ii) (iii),B,DRA_e80486ca,Match the List
Drama and theatre,Question Papers of NET December 2015,Paper III,22,अभिकथन (A) : प्रकरण प्रकार के रूपक में किसी राजा के जीवन और विलास नहीं दर्शाये जाते। कारण (R) : प्रकरण का नायक इतिहास अथवा दंतकथा से लिया गया कोई सुप्रसिद्ध व्यक्ति नहीं होगा। कूट :,(A) सही है (R) गलत है।,(A) गलत है (R) सही है।,(A) और (R) दोनों गलत हैं।,(A) और (R) दोनों सही हैं।,D,DRA_426d0f64,Assertion and Reason
Drama and theatre,Question Papers of NET December 2015,Paper III,23,"मध्यम विक्रुष्ट रंगमंच के रंगमंच भूगोल का पिछे से प्रेक्षकों की ओर आते हुए, सही क्रम चुनिए :","नेपथ्य, रंगपीठ, प्रेक्षकनिवेशनम, रंगशीर्ष","नेपथ्य, रंगशीर्ष, रंगपीठ, प्रेक्षकनिवेशनम,","प्रेक्षकनिवेशनम, नेपथ्य, रंगशीर्ष, रंगपीठ","रंगशीर्ष, रंगपीठ, प्रेक्षकनिवेशनम, नेपथ्य",B,DRA_ae589ec6,Sequence / Ordering
Drama and theatre,Question Papers of NET December 2015,Paper III,24,विषम को चुनिए :,द स्कूल फॉर वाइव्स,द स्कूल फॉर हसबैंड्स,द माइज़र,घोस्ट्स,D,DRA_b2ec0123,Identify the Incorrect Statement
Drama and theatre,Question Papers of NET December 2015,Paper III,25,निम्नलिखित में से कहाँ गामेलन संगीत के कई प्रकार हैं ?,भारत,जापान,इंडोनेशिया,श्रीलंका,C,DRA_d32df029,Normal MCQ
Drama and theatre,Question Papers of NET December 2015,Paper III,26,सूची - I की मदों को सूची - II की मदों के साथ सुमेलित करें : सूची - I 			सूची - II (a) पूर्वरंग 		(i) पताका (b) कार्यावस्था 		(ii) आमुख (c) अर्थप्रकृति 		(iii) विमर्श (d) संधि 		(iv) प्रयत्न कूट : (a) (b) (c) (d),(iv) (iii) (ii) (i),(ii) (iv) (i) (iii),(iii) (i) (iv) (ii),(i) (ii) (iii) (iv),B,DRA_789d7487,Match the List
Drama and theatre,Question Papers of NET December 2015,Paper III,27,"अभिकथन (A) : सेटिंग का डिजाइनर चार मूल कृत्यों को पूरा करता है : रंगमंच के खाली स्थान को ढंकना, महत्त्वपूर्ण चरित्रों और दृश्यों पर बल देना, क्रिया के स्थान को उजागर करना और नाटक की मनःस्थिति को अभिव्यक्त करना। कारण (R) : तैयार किए गए सेट को उपयुक्तता, व्यवहार्यता, दृश्यता, गतिशीलता, टिकाऊपन और मितव्ययिता की बुनियादी जरूरतों को पूरा करना चाहिए। कूट :",(A) गलत है और (R) सही है।,(A) और (R) गलत हैं।,(A) सही है और (R) गलत है।,(A) और (R) दोनों सही हैं।,D,DRA_f14d8754,Assertion and Reason
Drama and theatre,Question Papers of NET December 2015,Paper III,28,सही क्रम बताएँ :,"एक्सपोज़िशन, डेनूमेन्ट, राईजिंग एक्शन, क्लाइमेक्स","राईज़िंग एक्शन, डेनूमेन्ट, एक्सपोज़िशन, क्लाइमेक्स","एक्सपोज़िशन, राईज़िंग एक्शन, क्लाइमेक्स, डेनूमेन्ट","डेनूमेन्ट, एक्सपोज़िशन, राईज़िंग एक्शन, क्लाइमेक्स",C,DRA_c547a7c4,Sequence / Ordering
Drama and theatre,Question Papers of NET December 2015,Paper III,29,विषम को चुनिए :,पीपुल्स आर्ट थियेटर,लाआशी,बेजिंग ओपेरा,कुन ओपेरा,B,DRA_2781488a,Identify the Incorrect Statement
Drama and theatre,Question Papers of NET December 2015,Paper III,30,बाल-नाट्य (चिल्ड्रन्स थियेटर) समूह की स्थापना किसने की ?,रत्नाकर मतकरी,सुधा कर्मार्कर,के.जी. कृष्णा मूर्ति,अनमोल वेलानी,A,DRA_57ac2293,Normal MCQ
Drama and theatre,Question Papers of NET December 2015,Paper III,31,सूची - I की मदों को सूची - II की मदों के साथ सुमेलित करें : सूची - I 				सूची - II (a) जब्बार पटेल 			(i) निनासम (b) हबीब तनवीर 		(ii) थियेटर एकेडमी (c) रतन थियम 			(iii) कोरस रेपर्टरी थियेटर (d) चंद्रशेखर कम्बार 		(iv) नया थियेटर कूट : (a) (b) (c) (d),(iii) (i) (ii) (iv),(i) (iv) (iii) (ii),(iv) (iii) (i) (ii),(ii) (iv) (iii) (i),D,DRA_63f99b6a,Match the List
Drama and theatre,Question Papers of NET December 2015,Paper III,32,"अभिकथन (A) : स्टानिस्लावस्की के अनुसार हम भावों को प्रत्यक्ष रूप से उजागर नहीं कर सकते, हम केवल शारीरिक क्रिया ही तय कर सकते हैं। कारण (R) : शारीरिक क्रियाएं आपकी खोई हुई भावनाओं को बहाल कर सकती हैं। कूट :",(A) और (R) दोनों सही हैं।,(A) और (R) दोनों गलत हैं।,(A) सही है (R) गलत है।,(A) गलत है (R) सही है।,A,DRA_282ddb74,Assertion and Reason
Drama and theatre,Question Papers of NET December 2015,Paper III,33,उत्तर से दक्षिण दिशा की ओर भौगोलिक क्षेत्र के अनुसार निम्नलिखित का सही क्रम का पता लगाइए।,"अंकिया-नाटा, लाईहारोबा, जतरा, भागवतमेला","लाईहारोबा, भागवतमेला, जतरा, अंकिया-नाटा","भागवतमेला, अंकिया-नाटा, जतरा, लाईहारोबा","लाईहारोबा, अंकिया-नाटा, जतरा, भागवतमेला",D,DRA_73feb6f6,Sequence / Ordering
Drama and theatre,Question Papers of NET December 2015,Paper III,34,इनमें से कौन-सा अलग है ?,एम. नागभूषण सर्मा,चटला श्रीरामुलु,प्रसाद सावकर,सुषमा सेठ,A,DRA_bd53ac49,Identify the Incorrect Statement
Drama and theatre,Question Papers of NET December 2015,Paper III,35,निम्नलिखित में से कौन एक संस्कृत नाटकीय युक्ति है जिसका प्रयोग 'नाटक के भीतर नाटक' के रूप में किया जाता है ?,अंकांवतार,अंकमुख,गर्भांक,विष्कंभक,C,DRA_b5d0fee2,Normal MCQ
Drama and theatre,Question Papers of NET December 2015,Paper III,36,सूची - I की मदों को सूची - II की मदों के साथ सुमेलित करें : सूची - I	 		सूची - II (a) ऑक्सीडेण्टल थियेटर (i) जर्ज़ी ग्रोटोवस्की (b) लेबोरेटरी थियेटर 	(ii) यूजिनो बार्बा (c) थर्ड थियेटर 		(iii) एवगेनी वाख्तांगोव (d) फैन्टास्टिक रीयलिज़्म (iv) आंतोनिन आर्तोद कूट : (a) (b) (c) (d),(ii) (i) (iii) (iv),(iv) (i) (ii) (iii),(iii) (i) (ii) (iv),(ii) (i) (iv) (iii),B,DRA_087702c5,Match the List
Drama and theatre,Question Papers of NET December 2015,Paper III,37,"अभिकथन (A) : पेकिंग ओपेरा में लिखित नाटक साधारणतया सिर्फ एक प्रकार का कार्यकारी नाट्य आलेख है न कि साहित्य का अंश। कारण (R) : इसमें मूल कथावस्तु, जो विभिन्न लोकप्रिय स्रोतों से लिए गए हैं, शामिल होता है। कूट :",(A) और (R) दोनों सही हैं।,(A) और (R) दोनों गलत हैं।,(A) सही है और (R) गलत है।,(A) गलत है और (R) सही है।,A,DRA_44697ecf,Assertion and Reason
Drama and theatre,Question Papers of NET December 2015,Paper III,38,राधेश्याम कथावाचक के निम्नलिखित नाटकों का सही क्रम बताएँ :,"वीर अभिमन्यु, भारतमाता, कृष्ण अवतार, द्रौपदी स्वयंवर","वीर अभिमन्यु, द्रौपदी स्वयंवर, कृष्ण अवतार, भारतमाता","वीर अभिमन्यु, कृष्ण अवतार, भारतमाता, द्रौपदी स्वयंवर","द्रौपदी स्वयंवर, वीर अभिमन्यु, कृष्ण अवतार, भारतमाता",A,DRA_7e4e7cd4,Sequence / Ordering
Drama and theatre,Question Papers of NET December 2015,Paper III,39,निम्नलिखित में से असंगत को चुने :,मोनोलॉग,असाईड,सोलिलोक्वि,डायलॉग,D,DRA_844ce885,Identify the Incorrect Statement
Drama and theatre,Question Papers of NET December 2015,Paper III,40,"निम्नलिखित में से किसने क्रैग और अप्पीया के विचारों से प्रभावित होकर वर्ष 1905 में पेण्टेड फ्लैट्स को त्याग दिया था और डुशेज़ थियेटर में ठोस, त्रिआयामी सेटों का प्रयोग किया था?",ओट्टो ब्राह्म,आंद्रे आन्त्वा,जे.टी. ग्रीन,मैक्स रेनहार्त,D,DRA_efb73bbb,Normal MCQ
Drama and theatre,Question Papers of NET December 2015,Paper III,41,सूची - I के साथ सूची - II का मिलान करें : सूची - I 		सूची - II (a) वीथीनाटकम (i) पंजाब (b) नौटंकी 	(ii) कश्मीर (c) नक्कल 	(iii) आंध्र प्रदेश (d) भांडपथेर 	(iv) उत्तर प्रदेश कूट : (a) (b) (c) (d),(iv) (i) (ii) (iii),(ii) (iii) (iv) (i),(iii) (iv) (i) (ii),(i) (ii) (iii) (iv),C,DRA_06c52dfe,Match the List
Drama and theatre,Question Papers of NET December 2015,Paper III,42,"अभिकथन (A) : नाट्य शास्त्र के अनुसार कलाकार के प्रत्येक अंग की मुद्रा का सीधा संबंध मानव के मनोवैज्ञानिक अभिप्रेरणा से होता है। कारण (R) : आधुनिक रंगमंच में, वृत्तिक कभी भी कलाकार को अभिनय के लिए मनोवैज्ञानिक अभिप्रेरणा से संबल लेने के लिए प्रोत्साहित नहीं करते हैं। कूट :",(A) और (R) दोनों सही हैं।,(A) और (R) दोनों गलत हैं।,"(A) सही है, (R) गलत है।","(A) गलत है, (R) सही है।",C,DRA_5da633ea,Assertion and Reason
Drama and theatre,Question Papers of NET December 2015,Paper III,43,निम्नलिखित संस्कृत नाटककारों का सही क्रम बताएं :,"राजशेखर, भवभूति, कालिदास, भास, शूद्रक","भास, कालिदास, शूद्रक, भवभूति, राजशेखर","शूद्रक, भवभूति, राजशेखर, भास, कालिदास","कालिदास, राजशेखर, भवभूति, शूद्रक, भास",B,DRA_62bfd37c,Sequence / Ordering
Drama and theatre,Question Papers of NET December 2015,Paper III,44,निम्नलिखित में से विषम का चयन करें :,ग्रैंड ड्रेप,डॉक,टीज़र,बाल्कनी,D,DRA_4d6971ed,Identify the Incorrect Statement
Drama and theatre,Question Papers of NET December 2015,Paper III,45,डंटन्स डेथ की रचना निम्न में से किसने की ?,हेनरिच वॉन क्लीस्ट,जॉर्ज बकनर,अगस्त विल्हेम स्क्लेगल,फ्रांज़ ग्रिलपारज़र,B,DRA_35b4013b,Normal MCQ
Drama and theatre,Question Papers of NET December 2015,Paper III,46,सूची - I की मदों का सूची - II की मदों से मिलान करें : सूची- I 		सूची - II (a) विलोम 	(i) एवं इंद्रजीत (b) चम्पा 	(ii) अग्नि और बरखा (c) विशाखा 	(iii) सखाराम बाइन्डर (d) मानुषी 	(iv) आषाढ़ का एक दिन कूट : (a) (b) (c) (d),(i) (ii) (iii) (iv),(ii) (iii) (iv) (i),(iv) (iii) (ii) (i),(iii) (iv) (i) (ii),C,DRA_bf3e8902,Match the List
Drama and theatre,Question Papers of NET December 2015,Paper III,47,"अभिकथन (A) : हमारा पारंपरिक थियेटर विभिन्न तत्वों जैसे अखिल भारतीय और क्षेत्रीय, क्लासिकल और समकालिक, कालातीत और प्रासंगिक, संहिताकृत और नैसर्गिक, लिखित और मौखिक, धार्मिक और धर्म निरपेक्ष, साहित्यिक और प्रदर्शन आधारित के संयोजन का प्रतिबिम्बन करता है। कारण (R) : बहु-स्तरों वाले जटिल भारतीय समाज के लिए इस प्रकार का संयोजन आवश्यक नहीं है क्योंकि यह विविधता में एकता का भाव पैदा नहीं करता। कूट :",(A) गलत है (R) सही है।,(A) और (R) दोनों सही हैं।,(A) और (R) दोनों गलत हैं।,(A) सही है (R) गलत है।,D,DRA_2765cdb3,Assertion and Reason
Drama and theatre,Question Papers of NET December 2015,Paper III,48,निम्नलिखित रंगमंचों को उनके काल के अनुसार सही क्रम चुनिए :,"ग्रीक, रोमन, एलिजाबेथन, मध्यकालीन, पुनर्जागरण","रोमन, ग्रीक, पुनर्जागरण, मध्यकालीन, एलिजाबेथन","ग्रीक, रोमन, मध्यकालीन, पुनर्जागरण, एलिजाबेथन","मध्यकालीन, रोमन, ग्रीक, पुनर्जागरण, एलिजाबेथन",C,DRA_8d181979,Sequence / Ordering
Drama and theatre,Question Papers of NET December 2015,Paper III,49,इनमें से अलग को पहचानें :,प्लॉटस्,टेरेंस,मिनाँडर,सेनेका,D,DRA_96147ccf,Identify the Incorrect Statement
Drama and theatre,Question Papers of NET December 2015,Paper III,50,नोह रंगमंच में 'हयाशी' को निम्नलिखित में से किस रूप में जाना जाता है ?,स्टेज अटेनडैंट,टेक्नीशियन,म्यूज़िशियन,एक्टर,C,DRA_671b2503,Normal MCQ
Drama and theatre,Question Papers of NET December 2015,Paper III,51,सूची - I की मदों को सूची - II की मदों के साथ सुमेलित करें : सूची - I 			सूची - II (a) नाट्यदर्पण 		(i) रूप गोस्वामी (b) नाटकलक्षणरत्नकोश 	(ii) गणेश केशव भट (c) नाटकचन्द्रिका 	(iii) रामचन्द्र-गुणचन्द्र (d) नाट्य मंजरी सौरभ 	(iv) सागरनन्दीन कूट : (a) (b) (c) (d),(i) (ii) (iii) (iv),(iv) (iii) (ii) (i),(ii) (i) (iv) (iii),(iii) (iv) (i) (ii),D,DRA_6126623d,Match the List
Drama and theatre,Question Papers of NET December 2015,Paper III,52,अभिकथन (A) : एडोल्फ एप्पिया ने बाह्याकृति की अपेक्षा परिवेश के रंगमंच का पक्षसमर्थन किया। कारण (R) : एक वन को प्रस्तुत करने की कोई आवश्यकता नहीं है किंतु दर्शक को वन के परिवेश का अनुभव कराना आवश्यक है। कूट :,(A) और (R) दोनों गलत हैं।,(A) और (R) दोनों सही हैं।,(A) गलत है और (R) सही है।,(A) सही है और (R) गलत है।,B,DRA_7be5d3e1,Assertion and Reason
Drama and theatre,Question Papers of NET December 2015,Paper III,53,आर्थर मिलर के निम्न नाटकों का सही क्रम बताएं :,"डेथ ऑफ ए सेल्समैन, ऑल माई सन्स, ऑफ्टर द कॉल, द प्राइज़","ऑफ्टर द कॉल, द प्राइज़, डेथ ऑफ ए सेल्समैन, ऑल माई सन्स","द प्राइज़, ऑफ्टर द कॉल, डेथ ऑफ ए सेल्समैन, ऑल माई सन्स","ऑल माई सन्स, डेथ ऑफ ए सेल्समैन, ऑफ्टर द कॉल, द प्राइज़",D,DRA_bc9cd7db,Sequence / Ordering
Drama and theatre,Question Papers of NET December 2015,Paper III,54,विषम को चुनिए :,जत्रा,अंकिया-नाट,स्वांग,सुमंगलीला,C,DRA_7ddf2cef,Identify the Incorrect Statement
Drama and theatre,Question Papers of NET December 2015,Paper III,55,वर्ष 2014 के संगीत नाटक अकादमी पुरस्कार विजेता हैं :,अनीता शर्मा,जगरु महतो,इक़बाल अहमद ख़ान,देब शंकर हलदार,D,DRA_a5e1c676,Normal MCQ
Drama and theatre,Question Papers of NET December 2015,Paper III,56,सूची - I की मदों को सूची - II की मदों के साथ सुमेलित करें : सूची - I 				सूची - II (a) पीटर ब्रूक 			(i) अ लाइफ इन दि थियेटर (b) ताइरोन गुथरी 		(ii) द एम्प्टी स्पेस (c) जॉन गैसनर 			(iii) पब्लिक डोमेन (d) रिचर्ड शेक्नर			 (iv) फॉर्म एंड आइडिया इन माडर्न थियेटर कूट : (a) (b) (c) (d),(ii) (i) (iv) (iii),(iv) (ii) (iii) (i),(iii) (iv) (ii) (i),(ii) (iii) (i) (iv),A,DRA_9a4907de,Match the List
Drama and theatre,Question Papers of NET December 2015,Paper III,57,"अभिकथन (A) : ग्रोटोवस्की का मत है कि एक अभिनेता को अपनी भूमिका का शल्य चिकित्सक के उपकरण की तरह इस्तेमाल करना सीखना चाहिए, जिससे कि वह दर्शकों का आंतरिक विच्छेदन कर सके। कारण (R) : इसके माध्यम से दर्शक चेतन अथवा अवचेतन रूप से अभिनेता का आंतरिक विच्छेदन करता है। कूट :",(A) और (R) दोनों सही हैं।,(A) और (R) दोनों गलत हैं।,(A) सही है (R) गलत है।,(A) गलत है (R) सही है।,B,DRA_baee0b91,Assertion and Reason
Drama and theatre,Question Papers of NET December 2015,Paper III,58,"उत्तर से दक्षिण दिशा की ओर भौगोलिक, क्षेत्र के अनुसार निम्नलिखित का सही क्रम का पता लगाइए :","बोम्मलाट्टम, सखीनाटा, कठपुतलीनाट, सूत्रदा-गोम्बे","सूत्रदा-गोम्बे, कठपुतलीनाट, बोम्मलाट्टम, सखीनाट","कठपुतलीनाट, सखीनाट, बोम्मलाट्टम, सूत्रदा-गोम्बे","सूत्रदा-गोम्बे, बोम्मलाट्टम, सखीनाटा, कठपुतलीनाट",C,DRA_aee6b15f,Sequence / Ordering
Drama and theatre,Question Papers of NET December 2015,Paper III,59,इनमें से कौन-सा अलग है ?,वेनी संहारम,मालाविकाग्निमित्रम,ऊरुभंगम,मृच्छकटिकम्,C,DRA_19988159,Identify the Incorrect Statement
Drama and theatre,Question Papers of NET December 2015,Paper III,60,"मुद्राराक्षस' जो संस्कृत नाट्य-साहित्य में एक दुर्लभ राजनीतिक नाटक है, के रचयिता कौन हैं?",अश्वघोष,भवभूति,भास,विशाखदत्त,D,DRA_5c06c34e,Normal MCQ
Drama and theatre,Question Papers of NET December 2015,Paper III,61,सूची - I की मदों को सूची - II की मदों के साथ सुमेलित करें : सूची - I		 सूची - II (a) एस्ट्रोव	 (i) अंकल वान्या (b) डॉ. स्टॉकमैन	 (ii) द लोवर डेप्थ (c) सैटिन 	 (iii) द इमेजिनरी इनवैलिड (d) ऑरगन 	 (iv) एन एनिमी ऑफ दि पीपल कूट : (a) (b) (c) (d),(iii) (iv) (i) (ii),(i) (iv) (ii) (iii),(ii) (i) (iv) (iii),(iii) (iv) (ii) (i),B,DRA_fe52e087,Match the List
Drama and theatre,Question Papers of NET December 2015,Paper III,62,अभिकथन (A) : नवोन्मेष की अपेक्षा परम्परा पर अत्यधिक बल देकर नोह अत्यधिक कूटिकृत और विनियमित है। कारण (R) : नोह बहुधा परम्परागत साहित्य पर आधारित होता है जिसमें अतिप्राकृतिक सत्ता मानवरूप धारण करता है और नायक की भांति कथा का वर्णन करता है। कूट :,(A) और (R) दोनों सही हैं।,(A) और (R) दोनों गलत हैं।,(A) सही है और (R) गलत है।,(A) गलत है और (R) सही है।,A,DRA_e174bbbb,Assertion and Reason
Drama and theatre,Question Papers of NET December 2015,Paper III,63,रतन थियम द्वारा निर्देशित निम्नलिखित नाटकों का सही क्रम कौन-सा है ?,"उत्तर प्रियदर्शी, इम्फाल इम्फाल, चक्रव्यूह, कर्णाभारम","कर्णाभारम, इम्फाल इम्फाल, चक्रव्यूह, उत्तर प्रियदर्शी","इम्फाल इम्फाल, चक्रव्यूह, उत्तर प्रियदर्शी, कर्णाभारम","चक्रव्यूह, उत्तर प्रियदर्शी, कर्णाभारम, इम्फाल इम्फाल",B,DRA_a7de34b7,Sequence / Ordering
